"TF" "Target" "Score" "Likelihood"
"VDR" "SLC16A3" "0.763127132175855" "0.027972027972028"
"VDR" "GDF7" "-0.558531928356056" "0.0069930069930069"
"VDR" "ERLIN2" "-0.535179223291969" "0.0009990009990009"
"VDR" "DST" "-0.63152885534331" "0.0009990009990009"
"VDR" "SORBS2" "-0.561423286655259" "0.001998001998002"
"VDR" "ZFYVE27" "0.644276841798847" "0.030969030969031"
"VDR" "PTH1R" "-0.58193517609026" "0.0009990009990009"
"VDR" "LSM12" "0.588522388232565" "0.001998001998002"
"VDR" "IRAK1" "0.713971416009977" "0.034965034965035"
"VDR" "SRL" "-0.535628322697353" "0.002997002997003"
"VDR" "TSPYL4" "-0.537335049551581" "0.0059940059940059"
"VDR" "TAPBP" "0.663517572029402" "0.004995004995005"
"MZF1" "AK2" "-0.544192474434721" "0.001998001998002"
"MZF1" "HDAC5" "0.587080266974258" "0.002997002997003"
"MZF1" "LAMA5" "0.713935032213977" "0.002997002997003"
"MZF1" "CSAD" "0.567250712310187" "0.0009990009990009"
"MZF1" "CISD2" "-0.586231728971898" "0.0009990009990009"
"MZF1" "SLC25A45" "0.542975500553367" "0.265734265734266"
"MZF1" "SSH3" "0.579575150778625" "0.0079920079920079"
"MZF1" "FBXO46" "0.640256156571658" "0.0859140859140859"
"MZF1" "ABCB8" "0.659834653426488" "0.371628371628372"
"MZF1" "LDB1" "0.560581098638068" "0.0009990009990009"
"THRB" "EML1" "0.631514224707532" "0.001998001998002"
"THRB" "SLC22A17" "0.545411841115262" "0.002997002997003"
"THRB" "MYL9" "0.564941729023296" "0.011988011988012"
"THRB" "MPP2" "0.530282575977676" "0.0059940059940059"
"NFE2" "GP9" "0.559127592938615" "0.0079920079920079"
"TERF1" "ARSA" "-0.556528253465394" "0.051948051948052"
"HOXB3" "SDC4" "-0.744299540593074" "0.0009990009990009"
"HOXB3" "MYOZ3" "0.622099970659021" "0.0009990009990009"
"HOXB3" "RAB31" "-0.650149432219982" "0.011988011988012"
"ARX" "OSCP1" "0.822479123364005" "0.002997002997003"
