case_submitter_id	SRF	FOXO1	KLF16	EBF1	STAT5A	BCL6	IRF8	ZEB1	TCF3	RUNX1	FOXJ3	TAL1	RFX5	FOXO3	VDR	ELF2	ETS1	YBX1	IRF1	ELF1	RARA	E2F3	ZNF740	MAFK	MAZ	ESRRA	AR	JUND	SPI1	IRF5	TBX5	ERG	HMGA1	STAT3	SP2
C3L-01632	254.6333461236379	204.86475914093666	163.64816685559273	80.12680542955692	121.59106949599602	182.5231734673798	176.37588608647695	133.3807680637937	254.35118605940622	114.1654707511992	142.51908790427728	433.70090366800895	-27.901003614083237	265.8725887616467	64.69147181188964	135.89109001770112	135.17147018081437	281.07863265315143	235.4231110912457	201.1953002893638	356.7713254550443	22.497562217107216	-6.541635840805554	225.19523635244255	402.1514682524823	891.4268418923627	-22.22500473902558	252.41286315017464	1117.4549556776794	92.49322714449269	264.79394571991844	221.79341660873035	132.23058199941505	428.79978868000825	223.97198595552368
C3L-01682	278.1483379663373	202.93878779968682	173.60394645573143	67.78946290089301	127.02704286912387	195.3823718340311	197.34161401288486	123.22307495992541	263.19852745519955	121.8755929318407	144.43408763740632	445.2039830451136	-21.3468783161738	269.3258305079378	67.97970715933677	137.63100839523125	143.01511956739023	279.8553888127229	261.2047278836596	208.92569122024616	364.5238417743156	28.988952930254925	-18.94509375663803	239.94394676937299	395.18997359416585	868.5661501273166	-26.677252775044778	279.4282902442226	1146.652722780841	106.67885172938085	256.2742698689238	227.43744916667566	137.23910003346003	431.1967940274562	234.61205045974776
C3L-01683	249.45907843747037	212.82515027843235	174.71830273761572	78.87997651053193	141.8528073735948	185.14364736472845	200.96350374364798	132.90362624075752	268.68361859286415	124.01600549382366	138.99467008114647	438.89351126524633	-21.934294854226493	273.10337953625174	75.90848847880692	143.32175531597508	148.96569300211948	276.92035873463584	257.10291173804933	210.97205292119062	372.43826458245053	47.04260567912843	-11.573559913750003	227.58578199982816	392.3406752956619	828.6934673303705	-34.09871661880008	254.95376339038518	1188.7623445954348	120.61906843263854	248.22451467673713	222.77559036351107	135.07009185764917	417.5701469377229	246.50005914162222
C3L-01889	246.42360136619618	190.21196005447416	156.67382327383177	56.96319406406471	107.93339414671765	179.6883166712804	169.91546096527932	116.92540906143962	254.52349807040073	113.59759930952782	141.26778103484642	432.0914663121983	-32.479766535709885	277.8728426894651	63.60989109827632	124.17656924082124	129.79345332755827	275.69969494833896	211.8585008307088	200.30702362531093	344.6873104889886	17.88161040704958	-9.42689555027097	218.62920954876537	392.9121470607991	863.6435892801035	-30.154414306844842	248.42456082813666	1077.9025361135311	95.07384887218015	250.40461297444568	214.20321079958882	123.55615790501369	419.2859022055518	226.74993211026185
C3L-01890	252.48207396171458	203.4821349803745	164.01400140309656	70.8955245228902	118.2740610519271	190.85000688968475	170.94404965205996	122.8176908461381	261.6054926043974	122.50910337816582	141.02018000677194	438.30343185315974	-42.41745607212697	281.0945148317085	63.449995429561284	128.3876112762752	135.65118206576895	260.231306779503	219.776715016896	196.25040873184062	359.31624531602574	25.405587470964505	-5.1569735594059125	221.55787659954947	395.8444637156814	844.1719073672007	-24.572167071008266	258.1966864439207	1094.3911432724685	91.67632753349477	265.8681173698344	215.60663778104714	133.0258296455685	419.9876609616629	244.96545093626423
C3L-01924	243.74910797009545	193.9425377572594	166.2847640593667	65.04299836617464	129.27363915813828	178.13812887459315	185.7996555432665	113.43668103333117	265.9836981256729	122.87166552581661	139.120487267411	424.69056296105697	-18.002610440355	266.5233444899357	72.37971544863456	122.56857980368525	133.8663673938001	271.2512051049401	235.9347489363044	198.9298948223398	360.8874712468031	30.69123928609821	-11.87071803120115	225.75142708599356	397.09576747363275	871.295172540538	-30.891370152839016	252.25947639373803	1141.5845992884701	110.73202864756458	234.82390398848005	210.61632062032993	142.22310476955633	414.83453995359736	228.53175618743637
C3L-02219	252.08112272654864	191.81256881416067	175.6282478000401	65.49275707300383	128.62636212291773	189.3256522026701	192.7769476361826	112.78986172629065	267.1707801477923	112.22978888462109	129.74964067118458	427.3657491925945	-25.697274065865216	268.43063902179966	74.00280913749215	124.91986972717861	133.8410261673126	278.7165524659986	246.98239127464745	203.1344996541672	366.67698246365364	31.758302736515176	-3.885831552855123	230.55902805468043	401.4104288738982	884.0493425038719	-26.969745279827123	254.69633413277418	1162.3432095441217	118.71617102619098	256.778165569297	211.2479637928843	142.2660453829313	425.7696265274943	230.6461246440976
C3L-02345	253.7697844894778	203.198379806149	172.51622383411012	78.10109375567144	130.11321627446026	188.3341305885198	180.90162345344547	130.4804584646769	263.74535994090087	122.96171086327355	142.4460966002784	423.48806131327126	-25.897665347222528	265.41012707175815	71.85530210258997	132.55139544994086	138.10699376058454	276.7807470533606	242.2641784545233	204.49057638904623	366.9124683871469	36.30438429276505	-2.595141582190422	226.2340204384675	401.7807236845429	872.6058992295224	-33.17606987236461	251.41264166990018	1148.5020288846392	100.85041382561249	261.9168573723781	220.47160531863636	133.89878113544285	422.86066086737316	232.13650245335006
C3L-02348	246.5882600089356	190.13670188918636	171.60174427720995	55.846515530518445	120.89736385502685	167.18914434214634	190.51805467426965	110.45332678891964	265.87319127693587	113.18884688027967	137.42106849921245	433.53273026993446	-25.69996667706512	261.29143895887313	69.83868090858344	121.97756051691935	130.03695115603938	270.2966653225415	240.33733446495282	199.41691858397868	353.61999603391206	30.69883234098498	-10.278256804089054	220.1954228159885	400.3885248483885	865.7783804514938	-36.52056716863365	249.28963001713197	1143.4292980637535	108.2424123269519	252.25584677348513	210.88992147558542	137.03229717622037	418.9066264511877	234.01339063317872
C3L-02350	249.4345720100572	194.91406996896092	164.88245002730613	67.68091177692054	118.8522777013665	183.60147623537875	186.18346336982776	122.5426397505256	262.652120980863	106.5569438205235	134.94741790990452	439.01244483856334	-27.161842216282068	271.6486889475549	65.68769069979582	125.19853263045877	134.15731328980317	278.6807934286799	232.89930055626218	202.75331852228547	353.9339080957671	30.822707957972654	-7.477577768634987	220.16529099644433	397.36040308943495	869.5055587752055	-25.12519904837302	244.85640322761506	1121.9693669274388	106.64890068328619	256.2226257555358	213.21885916813318	131.36752010392962	416.270800051452	226.35583147805846
C3L-02365	258.23043463978917	192.4011432645945	173.06531064340942	60.411303870874065	124.49483816668881	179.97595388806934	185.09265513235005	107.80441377530947	275.11139261033975	125.11545432340235	142.41145443287638	420.36523569140644	-33.16771879463941	271.52011910135326	78.29598798626395	127.65299703431911	131.11786109262397	268.8017456713685	230.31503584938716	198.8383487553601	374.39765746206587	23.340318928565438	-12.369631027287369	233.78988396914724	409.3952676509797	887.4388923896927	-34.739689227932146	259.3247457620397	1157.3938450838696	114.63744575461784	247.19626614211035	207.00184054557872	146.33508728105735	430.10692988110037	244.00235934520612
